section,what,width,height,transparency,deliver_as,replaces
1. Character (Default look),"body, colour (albedo)",1024,1024,no,Gretel_Body_ALB.png,Characters\Heroes\Beowulf\Textures\T_Beowulf_ALB.tga
1. Character (Default look),"body, colour (albedo) — menu/low-res copy",256,256,no,Gretel_Body_ALB_LowRes.png,Characters\Heroes\Beowulf\Textures\T_Beowulf_ALB_LowRes.tga
1. Character (Default look),"body, metal/rough/AO (MRA)",1024,1024,no,Gretel_Body_MRA.png,Characters\Heroes\Beowulf\Textures\T_Beowulf_MRA.tga
1. Character (Default look),"body, metal/rough/AO (MRA) — menu/low-res copy",512,512,no,Gretel_Body_MRA_LowRes.png,Characters\Heroes\Beowulf\Textures\T_Beowulf_MRA_LowRes.tga
1. Character (Default look),"body, normal map",2048,2048,no (normal map),Gretel_Body_NRM.png,Characters\Heroes\Beowulf\Textures\T_Beowulf_NRM.tga
1. Character (Default look),"body, normal map — menu/low-res copy",256,256,no (normal map),Gretel_Body_NRM_LowRes.png,Characters\Heroes\Beowulf\Textures\T_Beowulf_NRM_LowRes.tga
1. Character (Default look),"gear + companion, colour (albedo)",1024,1024,no,Gretel_Gear_ALB.png,Characters\Heroes\Beowulf\Textures\T_BeowulfAcc_ALB.tga
1. Character (Default look),"gear + companion, colour (albedo) — menu/low-res copy",256,256,no,Gretel_Gear_ALB_LowRes.png,Characters\Heroes\Beowulf\Textures\T_BeowulfAcc_ALB_LowRes.tga
1. Character (Default look),"gear + companion, metal/rough/AO (MRA)",1024,1024,no,Gretel_Gear_MRA.png,Characters\Heroes\Beowulf\Textures\T_BeowulfAcc_MRA.tga
1. Character (Default look),"gear + companion, metal/rough/AO (MRA) — menu/low-res copy",512,512,no,Gretel_Gear_MRA_LowRes.png,Characters\Heroes\Beowulf\Textures\T_BeowulfAcc_MRA_LowRes.tga
1. Character (Default look),"gear + companion, normal map",1024,1024,no (normal map),Gretel_Gear_NRM.png,Characters\Heroes\Beowulf\Textures\T_BeowulfAcc_NRM.tga
1. Character (Default look),"gear + companion, normal map — menu/low-res copy",256,256,no (normal map),Gretel_Gear_NRM_LowRes.png,Characters\Heroes\Beowulf\Textures\T_BeowulfAcc_NRM_LowRes.tga
2. Ability icons,ability icon: Cinder Spin,192,192,no,Gretel_Ability_Cinder_Spin.png,Heroes\Beowulf\Ability_Beowulf_Special.png
2. Ability icons,"ability icon: Cinder Spin (greyed out, on cooldown)",192,192,no,Gretel_Ability_Cinder_Spin_Disabled.png,Heroes\Beowulf\Ability_Beowulf_Special_Disabled.png
2. Ability icons,ability icon: Cinder Spin empowered by the wand,192,192,no,Gretel_Ability_Cinder_Spin_Empowered.png,Heroes\Beowulf\Ability_Beowulf_Special_Alt_01.png
2. Ability icons,"ability icon: Cinder Spin empowered by the wand (greyed out, on cooldown)",192,192,no,Gretel_Ability_Cinder_Spin_Empowered_Disabled.png,Heroes\Beowulf\Ability_Beowulf_Special_Alt_01_Disabled.png
2. Ability icons,ability icon: Hunter's Blade,192,192,no,Gretel_Ability_Hunter_s_Blade.png,Heroes\Beowulf\Ability_Beowulf_Attack.png
2. Ability icons,"ability icon: Hunter's Blade (greyed out, on cooldown)",192,192,no,Gretel_Ability_Hunter_s_Blade_Disabled.png,Heroes\Beowulf\Ability_Beowulf_Attack_Disabled.png
2. Ability icons,ability icon: Hunter's Fury,192,192,no,Gretel_Ability_Hunter_s_Fury.png,Heroes\Beowulf\Ability_Beowulf_Ultimate_2.png
2. Ability icons,"ability icon: Hunter's Fury (greyed out, on cooldown)",192,192,no,Gretel_Ability_Hunter_s_Fury_Disabled.png,Heroes\Beowulf\Ability_Beowulf_Ultimate_2_Disabled.png
2. Ability icons,ability icon: Oven Door,192,192,no,Gretel_Ability_Oven_Door.png,Heroes\Beowulf\Ability_Beowulf_Defensive.png
2. Ability icons,"ability icon: Oven Door (greyed out, on cooldown)",192,192,no,Gretel_Ability_Oven_Door_Disabled.png,Heroes\Beowulf\Ability_Beowulf_Defensive_Disabled.png
